region_id	ref_lines	status	sample
S000	1-3	static	<!DOCTYPE html PUBLIC "-//W3C//DTD XHTML 1.0 Transitional//EN" "http://www.w3.or
D001	4-8	dynamic	<meta http-equiv="Content-Type" content="text/html; charset=ISO-8859-1" />
S002	9-9	static	<title>TANK TROUBLE</title>
D003	10-10	dynamic	<link href="includes/styles.css" rel="stylesheet" type="text/css" />
S004	11-12	static	<script type="text/javascript" src="includes/swfobject.js"></script>
D005	13-80	dynamic	<script type="text/javascript">
S006	81-83	static	</head>
D007	84-92	dynamic	<script>
S008	93-100	static	
D009	101-115	dynamic	<script type="text/javascript">
S010	116-119	static	
